            12	2025-12-07 06:00:15	1	0	1	0
             8	2025-12-07 06:00:23	1	255	15	0
            11	2025-12-07 06:04:06	1	255	15	0
             3	2025-12-07 06:04:14	1	255	15	0
             4	2025-12-07 06:13:04	1	255	15	0
             6	2025-12-07 06:16:22	1	255	1	0
             9	2025-12-07 06:16:28	1	0	1	0
            10	2025-12-07 06:16:38	1	0	1	0
             2	2025-12-07 06:16:51	1	255	1	0
             1	2025-12-07 06:33:58	1	0	1	0
             3	2025-12-08 06:04:07	1	255	15	0
            12	2025-12-08 06:07:53	1	0	1	0
            11	2025-12-08 06:08:37	1	255	15	0
             6	2025-12-08 06:11:19	1	0	1	0
             9	2025-12-08 06:11:25	1	0	1	0
             4	2025-12-08 06:19:15	1	255	15	0
             2	2025-12-08 06:19:40	1	0	1	0
             1	2025-12-08 06:38:25	1	0	1	0
             6	2025-12-08 13:01:39	1	1	1	0
             9	2025-12-08 13:01:44	1	1	15	0
             3	2025-12-08 13:08:37	1	255	15	0
            12	2025-12-09 06:00:51	1	0	1	0
             3	2025-12-09 06:01:59	1	255	15	0
             4	2025-12-09 06:14:51	1	255	15	0
             6	2025-12-09 06:16:33	1	255	1	0
             9	2025-12-09 06:16:43	1	255	15	0
            10	2025-12-09 06:16:49	1	255	1	0
             2	2025-12-09 06:19:52	1	0	1	0
             1	2025-12-09 06:41:56	1	0	1	0
             6	2025-12-09 13:10:58	1	1	1	0
             9	2025-12-09 13:11:05	1	1	1	0
            10	2025-12-09 13:11:46	1	1	1	0
             1	2025-12-09 13:28:06	1	1	1	0
             3	2025-12-10 06:03:06	1	255	15	0
             8	2025-12-10 06:06:46	1	255	15	0
            11	2025-12-10 06:09:12	1	255	15	0
             2	2025-12-10 06:14:26	1	255	1	0
             1	2025-12-10 06:35:47	1	255	1	0
             8	2025-12-10 13:04:18	1	255	15	0
            11	2025-12-10 13:04:25	1	255	15	0
            10	2025-12-10 15:07:10	1	255	1	0
            12	2025-12-10 15:09:11	1	255	1	0
            12	2025-12-10 22:14:18	1	1	1	0
            10	2025-12-10 22:15:25	1	255	1	0
             4	2025-12-11 05:58:34	1	255	15	0
             8	2025-12-11 06:08:31	1	255	15	0
             6	2025-12-11 06:11:23	1	0	1	0
             9	2025-12-11 06:11:31	1	0	1	0
             2	2025-12-11 06:18:44	1	255	1	0
             1	2025-12-11 06:36:36	1	0	1	0
             1	2025-12-11 12:24:31	1	0	1	0
             6	2025-12-11 13:00:37	1	0	1	0
             9	2025-12-11 13:00:42	1	1	1	0
             8	2025-12-11 13:00:51	1	255	15	0
             2	2025-12-11 13:06:49	1	255	1	0
             1	2025-12-11 13:06:54	1	1	1	0
            10	2025-12-11 15:02:05	1	255	1	0
            11	2025-12-11 22:03:25	1	255	15	0
            10	2025-12-11 22:09:01	1	255	1	0
             3	2025-12-12 06:03:28	1	255	15	0
             8	2025-12-12 06:11:15	1	255	1	0
             6	2025-12-12 06:14:20	1	255	1	0
             9	2025-12-12 06:14:27	1	0	1	0
             4	2025-12-12 06:15:27	1	255	15	0
             1	2025-12-12 06:35:31	1	0	1	0
             6	2025-12-12 13:00:54	1	1	1	0
             9	2025-12-12 13:01:00	1	1	1	0
             4	2025-12-12 13:02:11	1	255	15	0
             8	2025-12-12 13:18:49	1	255	15	0
